0, !, 185.1.68.3, AS60917, , DE-CIX Madrid, ES, Madrid
277, !, 91.213.211.164, AS197197, Peering.cz, Peering.cz eXchange, CZ//Republic Czech, Bratislava Prague
278, !, 193.201.28.5, AS5396, NaMeX, Nautilus Mediterranean Exchange Point, IT, Rome
279, !, 195.66.225.120, AS34803, LINX, London Internet Exchange, GB//Kingdom United, London
280, !, 193.25.180.28, AS35297, DTEL-IX, Digital Telecom Internet Exchange, UA, Kiev
281, !, 195.140.192.2, AS197032, TREX, Tampere Region Exchange, FI, Tampere
282, !, 206.72.210.102, AS52302, Any2, CoreSite - Any2 California, US, Valley Angeles and Silicon Los
283, !, 192.38.7.93, AS16245, DIX, Danish Internet Exchange, DK, Copenhagen
284, ?, 198.32.118.217, AS32590, Equinix-NY, Equinix-NY, Equinix New York, Equinix Internet Exchange New York, US, York New
285, !, 80.249.212.14, AS19679, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
286, !, 80.249.209.124, AS31216, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
287, !, 193.239.116.66, AS57029, NL-IX, Neutral Internet Exchange, NL, Amsterdam
288, !, 195.66.238.125, AS8309, LINX, London Internet Exchange, GB//Kingdom United, London
289, !, 193.169.198.117, AS9070, BIX.BG, Bulgarian Internet eXchange, BG, Sofia
290, !, 91.212.235.40, AS13335, , OM-NIX, BG, Sofia
291, !, 80.249.212.178, AS39709, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
292, !, 206.108.35.38, AS35788, TORIX, Toronto Internet Exchange, CA, Toronto
293, ?, 187.16.217.24, AS53222, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
294, !, 80.249.211.236, AS52438, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
295, !, 37.49.232.30, AS12654, FranceIX Marseille, France-IX Marseille, FR, Marseille
296, !, 194.9.117.34, AS15169, ECIX-BER, European Commercial Internet Exchange Berlin, DE, Berlin
297, !, 206.223.116.230, AS14824, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
298, !, 200.219.145.9, AS53164, PTT Salvador, IX.br Salvador, BR, Salvador BA
299, !, 206.223.118.121, AS13445, Equinix IBX Dallas, Equinix IBX Dallas, US, Dallas
300, !, 27.111.228.191, AS15695, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
301, !, 198.32.125.78, AS6057, NOTA, NAP of the Americas, US, Miami
302, ?, 206.126.115.41, AS27257, TIE New York, TelX Internet Exchange, Digital Realty | Telx New York, Digital Realty New York Internet Exchange, US, Jersey York New
303, !, 195.191.170.192, AS59990, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
304, !, 187.16.222.31, AS262983, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
305, !, 80.81.192.29, AS12312, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
306, !, 103.26.70.23, AS9443, MegaIX Brisbane, Megaport MegaIX Brisbane, AU, Brisbane
307, !, 206.126.237.131, AS63124, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
308, !, 206.223.118.81, AS23393, Equinix IBX Dallas, Equinix IBX Dallas, US, Dallas
309, !, 185.1.30.69, AS51555, , Balkan Internet Exchange, BG, Sofia
310, ?, 187.16.218.170, AS28271, PTT Sao Paulo, IX.br São Paulo, PTTMetro São Paulo, Ponto de Troca de Tráfego Metro São Paulo, BR, São Paulo
311, !, 206.223.119.58, AS293, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
312, !, 206.108.34.224, AS41095, TORIX, Toronto Internet Exchange, CA, Toronto
313, !, 203.190.230.30, AS4739, Equinix Tokyo, Equinix Tokyo, JP, Tokyo
314, ?, 200.0.19.242, AS42, NAP CABASE Neuquén, NAP CABASE Neuquén, CABASE-NQN, CABASE IXP Neuquén, AR, Neuquén
315, !, 103.247.139.30, AS38861, AMS-IX Hong Kong, AMS-IX Hong Kong, HK, Hong Kong
316, !, 91.213.211.116, AS46489, Peering.cz, Peering.cz eXchange, CZ//Republic Czech, Bratislava Prague
317, !, 195.66.225.33, AS35456, LINX, London Internet Exchange, GB//Kingdom United, London
318, !, 206.126.236.189, AS40068, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
319, !, 62.69.146.59, AS9008, , European Commercial Internet Exchange, DE, Frankfurt
320, !, 206.81.80.213, AS54182, SIX, Seattle Internet Exchange, US, Seattle
321, !, 206.223.118.160, AS19754, Equinix IBX Dallas, Equinix IBX Dallas, US, Dallas
322, !, 218.100.44.72, AS38182, MyIX, Malaysia Internet Exchange, MY, Lumpur Kuala
323, !, 212.91.0.200, AS35179, Thinx IX, Thinx Poland, PL, Warsaw
324, !, 27.111.228.2, AS3856, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
325, ?, 198.32.118.108, AS23265, Equinix-NY, Equinix-NY, Equinix New York, Equinix Internet Exchange New York, US, York New
326, !, 195.42.144.33, AS41157, Equinix Paris, Equinix Internet Exchange Paris, FR, Paris
327, !, 195.66.236.210, AS34655, LINX, London Internet Exchange, GB//Kingdom United, London
328, !, 195.191.170.92, AS47252, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
329, !, 206.81.81.49, AS12009, SIX, Seattle Internet Exchange, US, Seattle
330, !, 206.126.237.244, AS11870, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
331, !, 193.239.117.158, AS46489, NL-IX, Neutral Internet Exchange, NL, Amsterdam
332, !, 200.115.83.2, AS52404, , NAP CABASE Posadas, AR, Posadas
333, !, 194.68.123.175, AS197440, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
334, !, 206.223.116.187, AS36734, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
335, !, 178.18.224.57, AS39102, DATAIX, Peering LTD, RU, RU St Petersburg Moscow Omsk Ekaterinburg Khabarovsk Novosibirs
336, !, 195.66.237.185, AS51159, LINX, London Internet Exchange, GB//Kingdom United, London
337, !, 80.249.208.118, AS31424, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
338, !, 206.126.237.118, AS393490, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
339, !, 206.51.30.61, AS6939, NYIIX, New York International Internet eXchange, US, York New
340, !, 218.100.2.161, AS13335, PIPE Sydney, PIPE Networks Sydney, AU, Sydney NSW
341, !, 206.130.10.141, AS41690, DE-CIX New York, DE-CIX the New York / New Jersey Internet Exchange, US, Jersey York New
342, !, 193.239.117.62, AS57928, NL-IX, Neutral Internet Exchange, NL, Amsterdam
343, !, 119.27.63.137, AS21859, Equinix Hong Kong, Equinix Hong Kong, HK//CN, Hong Kong
344, !, 194.116.96.3, AS8220, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
345, !, 206.130.10.125, AS19082, DE-CIX New York, DE-CIX the New York / New Jersey Internet Exchange, US, Jersey York New
346, !, 195.246.227.129, AS39626, SMILE, Santa Monica Internet Local Exchange, LV, Riga
347, !, 206.41.110.23, AS36086, ChIX, United IX Chicago, US, Chicago
348, !, 210.173.176.14, AS2518, JPNAP Tokyo, Japan Network Access Point Tokyo, JP, Tokyo
349, !, 185.6.36.79, AS13237, INEX LAN1, Internet Neutral Exchange Association Ltd., IE, Dublin
350, !, 218.100.13.24, AS38333, PIPE Melbourne, PIPE Networks Melbourne, AU, Melbourne
351, !, 193.203.0.25, AS1120, VIX, Vienna Internet Exchange, AT, Vienna
352, !, 37.49.237.71, AS13414, France-IX, France-IX, FR, Paris
353, !, 91.213.236.10, AS20900, Touix, , FR, Toulouse
354, ?, 198.32.132.55, AS32880, Atlanta Internet Exchange, Digital Realty Atlanta Internet Exchange, TIE Atlanta, TelX Internet Exchange, US, Atlanta
355, !, 200.0.17.148, AS6507, , NAP CABASE Buenos Aires, AR, Buenos Aires
356, !, 80.249.208.167, AS15879, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
357, ?, 218.100.78.11, AS4826, Victoria Internet Exchange, VIC-IX, QLD-IX, Queensland Internet Exchange, AU, Victoria Melbourne//Brisbane
358, !, 123.255.90.29, AS135025, HKIX, Hong Kong Internet Exchange, HK, Hong Kong
359, !, 198.32.160.80, AS5400, NYIIX, New York International Internet Exchange, US, York New
360, !, 188.93.170.24, AS12431, LU-CIX, Luxembourg Commercial Internet Exchange, LU, Luxembourg
361, !, 91.213.211.53, AS43070, Peering.cz, Peering.cz eXchange, CZ//Republic Czech, Bratislava Prague
362, !, 200.219.141.21, AS14840, PTT Florianopolis, IX.br Florianópolis, BR, SC Florianopolis
363, !, 91.212.235.28, AS44217, , OM-NIX, BG, Sofia
364, !, 91.213.211.62, AS42, Peering.cz, Peering.cz eXchange, CZ//Republic Czech, Bratislava Prague
365, !, 198.32.124.52, AS23148, NOTA, NAP of the Americas, US, Miami
366, !, 193.178.185.55, AS29551, BCIX, Berlin Commercial Internet Exchange, DE, Berlin
367, !, 196.46.25.145, AS10474, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
368, !, 5.57.80.196, AS39326, LoNAP, London Network Access Point, GB//Kingdom United, London
369, !, 206.223.116.252, AS24115, Equinix IBX San Jose, Equinix IBX San Jose, US, San Jose
370, !, 195.182.218.165, AS48559, PLIX, Polish Internet Exchange, PL, Warsaw
371, !, 194.116.96.159, AS34758, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
372, !, 203.190.230.125, AS49544, Equinix Tokyo, Equinix Tokyo, JP, Tokyo
373, !, 202.7.0.112, AS24005, WIX, Wellington Internet Exchange, NZ//Zealand New, Wellington
374, !, 206.223.118.91, AS15054, Equinix IBX Dallas, Equinix IBX Dallas, US, Dallas
375, !, 62.69.146.101, AS63949, , European Commercial Internet Exchange, DE, Frankfurt
376, !, 198.32.160.61, AS6939, NYIIX, New York International Internet Exchange, US, York New
377, !, 195.66.225.108, AS24594, LINX, London Internet Exchange, GB//Kingdom United, London
378, !, 45.127.172.205, AS132405, Equinix Sydney, Equinix Sydney Exchange, AU, Sydney
379, !, 80.81.202.7, AS12337, DE-CIX Munich, Deutscher Commercial Internet Exchange Munich, DE, Munich
380, !, 203.163.222.14, AS17416, TPIX, Taipei Internet Exchange, TW, Taiwan Taipei
381, !, 194.146.118.150, AS22822, ECIX DUS, European Commercial Internet Exchange Düsseldorf, DE, Düsseldorf
382, !, 218.100.44.115, AS10030, MyIX, Malaysia Internet Exchange, MY, Lumpur Kuala
383, !, 187.16.199.10, AS14026, PTT Sao Jose do Rio Preto, IX.br São José do Rio Preto, BR, Jose Rio Preto SP Sao do
384, !, 37.49.237.58, AS197696, France-IX, France-IX, FR, Paris
385, !, 206.223.119.175, AS36692, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
386, !, 195.66.237.88, AS38082, LINX, London Internet Exchange, GB//Kingdom United, London
387, ?, 77.95.71.24, AS21502, Lyonix, LyonIX, GrenoblIX, GrenoblIX, FR, Lyon//Grenoble
388, ?, 206.126.115.30, AS13722, TIE New York, TelX Internet Exchange, Digital Realty | Telx New York, Digital Realty New York Internet Exchange, US, Jersey York New
389, !, 194.226.100.121, AS42610, MSK-IX Saint-Petersburg, MSK-IX Saint-Petersburg, RU, Saint Petersburg
390, !, 103.246.232.124, AS10010, JPIX OSAKA, Japan Internet Exchange Osaka, JP, Osaka
391, !, 119.27.63.8, AS6939, Equinix Hong Kong, Equinix Hong Kong, HK//CN, Hong Kong
392, !, 195.35.65.41, AS6876, UA-IX, Ukrainian Internet Exchange, UA, Kiev
393, !, 195.66.226.176, AS20473, LINX, London Internet Exchange, GB//Kingdom United, London
394, !, 195.35.65.201, AS20940, UA-IX, Ukrainian Internet Exchange, UA, Kiev
395, !, 193.239.116.24, AS199863, NL-IX, Neutral Internet Exchange, NL, Amsterdam
396, !, 187.16.221.13, AS28323, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
397, !, 80.81.195.1, AS39122, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
398, !, 195.191.170.96, AS199550, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
399, !, 206.108.236.63, AS17014, Boston Internet Exchange, Boston Internet Exchange, US, Massachusetts Boston
400, !, 195.66.236.80, AS51205, LINX, London Internet Exchange, GB//Kingdom United, London
401, !, 194.42.48.113, AS60486, Equinix Zurich, Equinix Zurich formerly TIX, CH, Zurich
402, !, 193.110.13.137, AS50986, SOLIX, SOLIX, SE, Stockholm
403, !, 206.41.105.39, AS6130, Phoenix-IX, Phoenix-IX, US, Phoenix
404, !, 206.51.43.4, AS22822, CoreSite - Any2, CoreSite - Any2 Chicago, US, Chicago
405, !, 206.130.10.113, AS714, DE-CIX New York, DE-CIX the New York / New Jersey Internet Exchange, US, Jersey York New
406, !, 218.100.44.183, AS56229, MyIX, Malaysia Internet Exchange, MY, Lumpur Kuala
407, !, 198.179.18.30, AS22822, QIX, Quebec Internet Exchange, CA, Montreal
408, !, 198.32.176.179, AS7500, Equinix- Palo Alto, Equinix Internet Exchange Palo Alto, US, Palo Alto
409, !, 195.66.224.222, AS34746, LINX, London Internet Exchange, GB//Kingdom United, London
410, !, 206.223.119.156, AS2906, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
411, !, 91.213.211.216, AS44712, Peering.cz, Peering.cz eXchange, CZ//Republic Czech, Bratislava Prague
412, !, 91.210.16.49, AS199803, NIX.CZ, NIX.CZ - Neutral Internet eXchange for the Czech Republic, CZ//Republic Czech, Prague
413, !, 187.16.220.89, AS52851, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
414, !, 206.108.34.40, AS26677, TORIX, Toronto Internet Exchange, CA, Toronto
415, !, 37.49.236.182, AS30972, France-IX, France-IX, FR, Paris
416, !, 194.146.118.70, AS35833, ECIX DUS, European Commercial Internet Exchange Düsseldorf, DE, Düsseldorf
417, !, 187.16.220.240, AS32934, PTT Sao Paulo, IX.br São Paulo, BR, SP Sao Paulo
418, !, 80.249.208.175, AS8928, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
419, !, 195.191.170.106, AS198235, EPIX.Katowice, Stowarzyszenie na Rzecz Rozwoju Spoleczenstwa Informacyjnego e-Poludnie, PL, Katowice Silesia
420, !, 206.223.119.20, AS6327, Equinix Chicago IBX, Equinix Chicago IBX, US, Chicago
421, !, 206.223.118.119, AS16276, Equinix IBX Dallas, Equinix IBX Dallas, US, Dallas
422, !, 80.249.209.197, AS20562, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
423, !, 27.111.228.96, AS54994, Equinix Singapore, Equinix Singapore Exchange, SG, Singapore
424, !, 206.51.46.12, AS714, Coresite - Any 2, CoreSite - Any2 Denver / Formerly RMIX, US, Denver
425, !, 86.104.125.101, AS31017, InterLAN-IX, InterLAN-IX, RO, Timisoara Bucharest Constanta Craiova
426, !, 206.223.123.4, AS27524, Equinix Los Angeles, Equinix Los Angeles IBX, US, Angeles Los
427, !, 193.239.117.164, AS12876, NL-IX, Neutral Internet Exchange, NL, Amsterdam
428, !, 198.32.195.44, AS36012, NWAX, Northwest Access Exchange, US, Portland
429, !, 203.163.222.28, AS1659, TPIX, Taipei Internet Exchange, TW, Taiwan Taipei
430, !, 193.149.1.94, AS15169, ESPANIX, , ES, Madrid
431, !, 218.100.52.18, AS45763, NSW-IX, , AU, Sydney NSW
432, !, 195.66.244.77, AS44611, IXManchester, IXManchester powered by LINX, GB//Kingdom United, Manchester
433, !, 203.190.230.119, AS46489, Equinix Tokyo, Equinix Tokyo, JP, Tokyo
434, !, 37.49.236.216, AS48166, France-IX, France-IX, FR, Paris
435, !, 200.0.17.172, AS263768, , NAP CABASE Buenos Aires, AR, Buenos Aires
436, !, 178.18.224.194, AS198342, DATAIX, Peering LTD, RU, RU St Petersburg Moscow Omsk Ekaterinburg Khabarovsk Novosibirs
437, !, 80.81.192.100, AS9063, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
438, !, 200.219.143.66, AS52751, PTT Porto Alegre, , BR, Alegre Porto
439, !, 195.66.237.157, AS198831, LINX, London Internet Exchange, GB//Kingdom United, London
440, !, 206.223.123.252, AS24115, Equinix Los Angeles, Equinix Los Angeles IBX, US, Angeles Los
441, !, 200.219.144.46, AS14282, PTT Londrina, IX.br Londrina, BR, PR Londrina
442, !, 193.203.0.168, AS20940, VIX, Vienna Internet Exchange, AT, Vienna
443, !, 195.66.224.226, AS39326, LINX, London Internet Exchange, GB//Kingdom United, London
444, !, 200.219.146.39, AS262393, PTT Fortaleza, IX.br Fortaleza, BR, Fortaleza CE
445, !, 193.25.180.143, AS6876, DTEL-IX, Digital Telecom Internet Exchange, UA, Kiev
446, !, 198.32.124.108, AS64597, NOTA, NAP of the Americas, US, Miami
447, !, 218.100.54.22, AS20940, SA-IX, South Australia Internet Exchange, AU, Adelaide
448, !, 195.66.236.130, AS2828, LINX, London Internet Exchange, GB//Kingdom United, London
449, !, 198.32.195.22, AS25899, NWAX, Northwest Access Exchange, US, Portland
450, !, 210.173.176.32, AS7682, JPNAP Tokyo, Japan Network Access Point Tokyo, JP, Tokyo
451, !, 218.100.76.52, AS135099, IX Australia QLD, Queensland Internet Exchange, AU, Brisbane Queensland
452, !, 198.32.96.31, AS62, CyrusOne IX Houston, CyrusOne Internet Exchange, US, Houston
453, !, 195.208.208.247, AS34602, MSK-IX Moscow, MSK-IX Moscow, RU, Moscow
454, !, 193.25.181.31, AS57463, DTEL-IX, Digital Telecom Internet Exchange, UA, Kiev
455, !, 194.53.172.107, AS31449, BNIX, Belgian National Internet Exchange, BE, Brussels
456, !, 203.190.227.11, AS54113, Equinix Osaka, Equinix Osaka, JP, Osaka
457, !, 206.223.118.50, AS18705, Equinix IBX Dallas, Equinix IBX Dallas, US, Dallas
458, !, 80.81.194.8, AS201764, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
459, !, 206.223.123.94, AS4788, Equinix Los Angeles, Equinix Los Angeles IBX, US, Angeles Los
460, !, 176.126.38.7, AS6866, GR-IX, GReek Internet eXchange, GR, Athens
461, !, 193.239.116.88, AS34762, NL-IX, Neutral Internet Exchange, NL, Amsterdam
462, !, 37.49.236.116, AS29246, France-IX, France-IX, FR, Paris
463, !, 206.108.34.164, AS20365, TORIX, Toronto Internet Exchange, CA, Toronto
464, !, 206.126.237.124, AS2635, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
465, !, 193.178.185.86, AS199118, BCIX, Berlin Commercial Internet Exchange, DE, Berlin
466, !, 80.249.208.219, AS24961, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
467, ?, 218.100.78.21, AS135513, Victoria Internet Exchange, VIC-IX, QLD-IX, Queensland Internet Exchange, AU, Victoria Melbourne//Brisbane
468, !, 206.108.255.129, AS64227, MICE, Midwest Internet Cooperative Exchange, US, MN Minneapolis
469, !, 195.66.238.199, AS20596, LINX, London Internet Exchange, GB//Kingdom United, London
470, !, 217.29.66.194, AS6898, MIX, Milan Internet eXchange, IT, Milan
471, !, 194.116.96.36, AS44084, TOP-ix, Consorzio Top-IX, IT, Turin//Torino
472, !, 195.208.209.230, AS47541, MSK-IX Moscow, MSK-IX Moscow, RU, Moscow
473, !, 192.203.154.117, AS18119, APE, Auckland Peering Exchange, NZ//Zealand New, Auckland
474, !, 200.192.108.20, AS53158, PTT Campinas, IX.br Campinas, BR, SP Campinas
475, !, 206.81.81.97, AS3853, SIX, Seattle Internet Exchange, US, Seattle
476, !, 210.171.224.197, AS32787, JPIX, Japan Internet Exchange, JP, Tokyo
477, !, 198.32.190.37, AS30141, Equinix-VA, Equinix Internet Exchange Vienna VA, US, Vienna
478, !, 193.149.1.133, AS3262, ESPANIX, , ES, Madrid
479, !, 193.149.1.101, AS43833, ESPANIX, , ES, Madrid
480, !, 196.46.25.24, AS328032, NAPAfrica IX Johannesburg, NAPAfrica IX Johannesburg, ZA, Johannesburg
481, !, 206.108.34.81, AS40028, TORIX, Toronto Internet Exchange, CA, Toronto
482, !, 80.81.193.103, AS37468, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
483, !, 37.49.236.52, AS44000, France-IX, France-IX, FR, Paris
484, !, 195.66.226.192, AS59933, LINX, London Internet Exchange, GB//Kingdom United, London
485, ?, 200.219.140.70, AS262778, PRIX, Ponto de Troca de Tráfego do Paraná, PTT Curitiba, IX.br Curitiba, BR, PR Curitiba//Paraná
486, !, 206.53.171.17, AS6507, MegaIX Seattle, Megaport MegaIX Seattle, US, Seattle
487, !, 80.249.211.140, AS13335, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
488, !, 206.130.10.19, AS29838, DE-CIX New York, DE-CIX the New York / New Jersey Internet Exchange, US, Jersey York New
489, !, 206.51.41.15, AS11190, Coresite - Any 2, Coresite - Any 2 Northern California, US, San Jose
490, !, 194.68.128.31, AS50986, Netnod, Netnod Internet Exchange i Sverige AB, SE, Stockholm
491, !, 217.29.66.45, AS15830, MIX, Milan Internet eXchange, IT, Milan
492, !, 80.249.212.36, AS42707, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
493, !, 217.29.68.96, AS15169, MIX-IT, Milan Internet eXchange, IT, Milan
494, ?, 198.32.118.158, AS63399, Equinix-NY, Equinix-NY, Equinix New York, Equinix Internet Exchange New York, US, York New
495, !, 37.49.237.48, AS12696, France-IX, France-IX, FR, Paris
496, !, 198.32.176.214, AS14907, Equinix- Palo Alto, Equinix Internet Exchange Palo Alto, US, Palo Alto
497, !, 206.126.237.167, AS8403, Equinix Ashburn, Equinix Ashburn Exchange, US, Ashburn
498, !, 80.249.210.20, AS50737, AMS-IX, Amsterdam Internet Exchange, NL, Amsterdam
499, !, 206.81.81.21, AS62838, SIX, Seattle Internet Exchange, US, Seattle
500, !, 80.81.193.150, AS34177, DE-CIX, Deutscher Commercial Internet Exchange, DE, Frankfurt
501, !, 206.51.46.4, AS13576, Coresite - Any 2, CoreSite - Any2 Denver / Formerly RMIX, US, Denver
502, !, 103.203.158.51, AS6939, BBIX Hong Kong, BroadBand Internet eXchange Hong Kong, HK, Hong Kong
